car_no,list_of_witnesses,response,violation_type
EC905571,1. Palak,No comments,Caused accident
SA177322,1. Palak,Providing additional information,Not followed signal rules
VG229539,1. Palak,Challenging the record,Not followed signal rules
SL423230,1. Palak,Providing additional information,Caused accident
ST642210,1. Palak,Challenging the record,Caused accident
ID154233,1. Palak,Challenging the record,Not followed signal rules
MA307873,1.Ankita,Providing additional information,Caused accident
AS974818,1.Ankita,Challenging the record,Caused accident
ZW933252,1.Ankita,No comments,Caused accident
CM403107,1.Ankita,No comments,Caused accident
GS724019,1. Rashi    2. Swati,Providing additional information,Not followed signal rules
JO376884,1. Rashi    2. Swati,Challenging the record,Caused accident
VG201260,1. Rashi    2. Swati,Providing additional information,Not followed signal rules
DJ597493,1. Rashi    2. Swati,Providing additional information,Not followed signal rules
ST642210,1. Rashi    2. Swati,Challenging the record,Not followed signal rules
TV634065,1. Rashi    2. Swati,Challenging the record,Caused accident
FK837823,1. Rashi    2. Swati,Providing additional information,Not followed signal rules
GF473965,1. Rashi    2. Swati,Providing additional information,Not followed signal rules
SB763210,1. Rashi    2. Swati,Providing additional information,Caused accident
KZ616300,1. Rashi    2. Swati,Providing additional information,Caused accident
ID465966,1. Rashi    2. Swati,Providing additional information,Caused accident
GE981637,1. Rashi    2. Swati,Providing additional information,Caused accident
HR936158,1. Rashi    2. Swati,Providing additional information,Not followed signal rules
LK415492,1. Rashi    2. Swati,No comments,Caused accident
CF862743,1. Rashi    2. Swati,Challenging the record,Not followed signal rules
MA929957,1. Rashi    2. Swati,Providing additional information,Not followed signal rules
SJ245127,1. Rashi    2. Swati,Challenging the record,Not followed signal rules
GM579071,1. Yash     2.Sumit      3. Prachi,Providing additional information,Not followed signal rules
KZ616300,1. Yash     2.Sumit      3. Prachi,No comments,Caused accident
NC881625,1. Yash     2.Sumit      3. Prachi,No comments,Caused accident
HM825734,1. Yash     2.Sumit      3. Prachi,No comments,Caused accident
SN797522,1. Yash     2.Sumit      3. Prachi,Challenging the record,Caused accident
BW434358,1. Yash     2.Sumit      3. Prachi,Providing additional information,Not followed signal rules
MQ937797,1. Yash     2.Sumit      3. Prachi,No comments,Caused accident
CU531149,1. Yash     2.Sumit      3. Prachi,No comments,Not followed signal rules
SV705666,1. Yash     2.Sumit      3. Prachi,Providing additional information,Not followed signal rules
BG527788,1. Yash     2.Sumit      3. Prachi,Challenging the record,Not followed signal rules
GS724019,1. Yash     2.Sumit      3. Prachi,Providing additional information,Not followed signal rules
FJ906817,1. Yash     2.Sumit      3. Prachi,Providing additional information,Caused accident
GH836909,1. Yash     2.Sumit      3. Prachi,Providing additional information,Not followed signal rules
MA307873,1. Nikita,Providing additional information,Not followed signal rules
GI197831,1. Nikita,Providing additional information,Caused accident
BY776147,1. Nikita,Providing additional information,Not followed signal rules
NP551373,1. Nikita,No comments,Not followed signal rules
LB884650,1. Nikita,Providing additional information,Not followed signal rules
MM674811,1. Nikita,Challenging the record,Not followed signal rules
ML193356,1. Nikita,Challenging the record,Caused accident
TL972584,1. Nikita,No comments,Caused accident
VI191752,1. Nikita,Challenging the record,Caused accident
MM146501,1. Nikita,No comments,Caused accident
SO423151,1. Nikita,No comments,Not followed signal rules
FJ723821,1. Anshita    2.Naman,Challenging the record,Caused accident
AW549996,1. Anshita    2.Naman,Providing additional information,Not followed signal rules
MP446334,1. Anshita    2.Naman,Challenging the record,Not followed signal rules
NA793561,1. Anshita    2.Naman,Providing additional information,Not followed signal rules
BI292773,1. Anshita    2.Naman,Challenging the record,Not followed signal rules
MS377612,1. Anshita    2.Naman,Challenging the record,Not followed signal rules
GY238480,1. Anshita    2.Naman,Providing additional information,Caused accident
LA682314,1. Anshita    2.Naman,Providing additional information,Caused accident
DJ597493,1. Anshita    2.Naman,No comments,Not followed signal rules
NZ204524,1. Anshita    2.Naman,No comments,Not followed signal rules
VE190965,1. Anshita    2.Naman,No comments,Caused accident
UZ199272,1. Anshita    2.Naman,Challenging the record,Caused accident
CD941401,1. Anshita    2.Naman,No comments,Not followed signal rules
TD959735,1. Anshita    2.Naman,Challenging the record,Caused accident
ES620711,1. Anshita    2.Naman,No comments,Not followed signal rules
GL788860,1. Anshita    2.Naman,Challenging the record,Caused accident
CI315454,1. Anshita    2.Naman,No comments,Caused accident
AZ959481,1. Anshita    2.Naman,Challenging the record,Caused accident
PN138611,1. Anshita    2.Naman,Providing additional information,Not followed signal rules
SA635389,1. Anshita    2.Naman,No comments,Caused accident
ZA340248,1. Anshita    2.Naman,Challenging the record,Caused accident
GN153359,1. Anshita    2.Naman,No comments,Caused accident
AN337354,1. Anshita    2.Naman,No comments,Not followed signal rules
NG902657,1. Anshita    2.Naman,Providing additional information,Caused accident
IS278161,1. Anshita    2.Naman,Providing additional information,Caused accident
CU618702,1. Anshita    2.Naman,Challenging the record,Not followed signal rules
SK241967,1. Ayush     2.Rashi,Providing additional information,Not followed signal rules
DK476453,1. Ayush     2.Rashi,No comments,Caused accident
PN261369,1. Ayush     2.Rashi,No comments,Not followed signal rules
IO632564,1. Ayush     2.Rashi,Providing additional information,Not followed signal rules
PY139679,1. Ayush     2.Rashi,Providing additional information,Not followed signal rules
JO649959,1. Ayush     2.Rashi,Providing additional information,Not followed signal rules
AO938117,1. Ayush     2.Rashi,No comments,Caused accident
VN255987,1. Ayush     2.Rashi,No comments,Not followed signal rules
PW671466,1. Ayush     2.Rashi,Providing additional information,Caused accident
IQ667253,1. Ayush     2.Rashi,Providing additional information,Caused accident
SZ129136,1. Ayush     2.Rashi,Providing additional information,Not followed signal rules
TK664393,1. Ayush     2.Rashi,Challenging the record,Not followed signal rules
SJ654453,1. Ayush     2.Rashi,Providing additional information,Caused accident
TC816668,1. Khushi,Challenging the record,Not followed signal rules
GW478937,1. Khushi,Providing additional information,Caused accident
SN303364,1. Khushi,No comments,Caused accident
BG730815,1. Khushi,Challenging the record,Not followed signal rules
AW837434,1. Khushi,Challenging the record,Caused accident
BG326064,1. Khushi,Challenging the record,Not followed signal rules
TN781970,1. Khushi,Providing additional information,Caused accident
NC370762,1. Khushi,Providing additional information,Caused accident
LT425835,1. Khushi,No comments,Caused accident
KE776416,1. Khushi,Providing additional information,Caused accident
